n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
15,0.0,15,5,2,0.0017873100983020554,0.21890737116336823,0.6068061360561292
15,0.0,15,15,2,0.004766160262138814,0.22202575206756592,0.6010311704064019
15,0.0,25,5,4,0.00878760798331844,-0.18938201665878296,0.8367549519878423
15,0.0,25,15,3,0.005659815311289842,-0.031387969851493835,0.7378277259237068
15,0.0,50,5,3,0.00804289544235925,-0.024189485237002373,0.8417937221082781
15,0.0,50,15,2,0.004766160262138814,0.22202575206756592,0.6010311704064019
15,0.1,15,5,9,0.014149538278224605,-0.3385966718196869,0.7464454304237247
15,0.1,15,15,6,0.019213583556747096,-0.3338448107242584,0.7227897482025704
15,0.1,25,5,4,0.024128686327077747,-0.1777385175228119,0.793645282694215
15,0.1,25,15,3,0.027405421507298182,-0.022570380941033363,0.7261126483313651
15,0.1,50,5,2,0.03708668453976765,0.10849499702453613,0.888563291498805
15,0.1,50,15,2,0.05749180816204945,0.11901599168777466,0.8653286840981685
15,0.25,15,5,2,0.0017873100983020554,0.13836446404457092,0.6844330181989147
15,0.25,15,15,5,0.038129282097110515,-0.20021715760231018,0.6876508209440686
15,0.25,25,5,2,0.009830205540661306,0.23232603073120117,0.6113008099402272
15,0.25,25,15,3,0.04408698242478403,-0.00848686695098877,0.7117469832092639
15,0.25,50,5,24,0.5099791480488531,0.30711600184440613,0.8502794877403593
15,0.25,50,15,6,0.33690795352993747,-0.05845280736684799,0.8907329043630119
30,0.0,15,5,3,0.002532022639261245,0.1785746067762375,0.6089166467301418
30,0.0,15,15,3,0.00044682752457551384,0.17966245114803314,0.6070746432703459
30,0.0,25,5,3,0.002532022639261245,0.1785746067762375,0.6089166467301418
30,0.0,25,15,3,0.00044682752457551384,0.17966245114803314,0.6070746432703459
30,0.0,50,5,2,0.002234137622877569,0.2010612189769745,0.6511421531716735
30,0.0,50,15,2,0.0,0.20137697458267212,0.6505620353521108
30,0.1,15,5,3,0.002383080131069407,0.1491151601076126,0.6511685188300668
30,0.1,15,15,4,0.015490020851951147,-0.11414211988449097,0.6697082471452984
30,0.1,25,5,3,0.002383080131069407,0.1491151601076126,0.6511685188300668
30,0.1,25,15,3,0.0065534703604408695,0.1547926664352417,0.6417494976630558
30,0.1,50,5,3,0.06568364611260054,-0.117527537047863,0.8195285200912931
30,0.1,50,15,2,0.006106642835865356,0.1803317815065384,0.6964503062728169
30,0.25,15,5,4,0.010277033065236819,-0.2331792265176773,0.6878728171382176
30,0.25,15,15,4,0.013702710753649091,-0.2324143946170807,0.6854484201258171
30,0.25,25,5,2,0.004170390229371462,0.17053824663162231,0.6779775011819149
30,0.25,25,15,2,0.019809353589514446,0.17402930557727814,0.6694081696372179
30,0.25,50,5,3,0.1106642835865356,-0.012715457007288933,0.9972706704933025
30,0.25,50,15,3,0.20658325886207923,0.09871257841587067,0.849097341875301
50,0.0,15,5,3,0.0019362526064938934,0.12610921263694763,0.6720452525398425
50,0.0,15,15,3,0.004170390229371462,0.13475151360034943,0.6513155925241731
50,0.0,25,5,4,0.013702710753649091,-0.1636936217546463,0.7299499677563912
50,0.0,25,15,2,0.0005957700327673518,0.14972473680973053,0.7166208350639083
50,0.0,50,5,2,0.0013404825737265416,0.15064865350723267,0.7137825590858529
50,0.0,50,15,2,0.0005957700327673518,0.14972473680973053,0.7166208350639083
50,0.1,15,5,3,0.0013404825737265416,0.11040807515382767,0.6934077423915971
50,0.1,15,15,4,0.029490616621983913,-0.1594959944486618,0.6994042523480037
50,0.1,25,5,3,0.0013404825737265416,0.11040807515382767,0.6934077423915971
50,0.1,25,15,2,0.008340780458742925,0.14177799224853516,0.737493642102202
50,0.1,50,5,2,0.0008936550491510277,0.14122076332569122,0.7389419965137777
50,0.1,50,15,2,0.008340780458742925,0.14177799224853516,0.737493642102202
50,0.25,15,5,3,0.008191837950551088,-0.0163431279361248,0.7073027102096078
50,0.25,15,15,4,0.030831099195710455,-0.2456636279821396,0.6841662889832396
50,0.25,25,5,3,0.008191837950551088,-0.0163431279361248,0.7073027102096078
50,0.25,25,15,23,0.5823652070300864,0.339925080537796,0.6943800834535342
50,0.25,50,5,4,0.19049746797736075,-0.030947305262088776,0.9273806267917004
50,0.25,50,15,16,0.5691093238010128,0.38030290603637695,0.7092456593747303
