n_neighbors,min_dist,min_cluster_size,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin
5,0.5,30,15,5,0.03485254691689008,0.26621320843696594,0.49360324392859384
5,0.5,30,25,3,0.045427464998510574,0.2879721224308014,0.5541472183115437
5,0.5,50,5,4,0.0388739946380697,0.16620127856731415,0.5678699525858466
5,0.5,50,10,3,0.033661006851355375,0.2814352214336395,0.5646062403877788
5,0.5,50,15,3,0.038278224605302356,0.28371474146842957,0.5623140602803219
5,0.5,50,25,3,0.045427464998510574,0.2879721224308014,0.5541472183115437
5,0.5,75,5,3,0.02323503127792672,0.2768517732620239,0.5708750175037589
5,0.5,75,10,3,0.033661006851355375,0.2814352214336395,0.5646062403877788
5,0.5,75,15,3,0.038278224605302356,0.28371474146842957,0.5623140602803219
5,0.5,75,25,2,0.05644921060470658,0.419808954000473,0.5027365786967493
5,0.5,100,5,2,0.035746201966041107,0.40762782096862793,0.5131422897473316
5,0.5,100,10,2,0.045576407506702415,0.41258811950683594,0.5098191573497066
5,0.5,100,15,2,0.05019362526064939,0.4155873656272888,0.5051934549603261
5,0.5,100,25,2,0.05644921060470658,0.419808954000473,0.5027365786967493
10,0.0,10,5,180,0.25245755138516535,0.5686282515525818,0.5112486854110617
10,0.0,10,10,133,0.3342269883824844,0.6080456376075745,0.4666519885300774
10,0.0,10,15,76,0.3197795650878761,0.5136350989341736,0.4500776454294122
10,0.0,10,25,11,0.0686624962764373,0.40331506729125977,0.4398657729034918
10,0.0,15,5,120,0.2774798927613941,0.5693594813346863,0.5503783055326193
10,0.0,15,10,100,0.3571641346440274,0.6136620044708252,0.4986223763631496
10,0.0,15,15,65,0.2920762585641942,0.4822530746459961,0.5152685465138016
10,0.0,15,25,10,0.05466190050640453,0.41271546483039856,0.4633386911371158
10,0.0,20,5,91,0.2856717307119452,0.5215983986854553,0.6327724693730784
10,0.0,20,10,69,0.32677986297289247,0.5343810319900513,0.5407791566159714
10,0.0,20,15,59,0.3022043491212392,0.48271939158439636,0.5302920930329195
10,0.0,20,25,10,0.05466190050640453,0.41271546483039856,0.4633386911371158
10,0.0,30,5,57,0.25767053917187965,0.4758141040802002,0.6213842783312264
10,0.0,30,10,49,0.32082216264521896,0.5177621841430664,0.5798136138381602
10,0.0,30,15,14,0.05838546321120048,0.38537561893463135,0.49387215346865715
10,0.0,30,25,10,0.05466190050640453,0.41271546483039856,0.4633386911371158
10,0.0,50,5,10,0.0679177837354781,0.21983377635478973,0.5029029201858679
10,0.0,50,10,4,0.002829907655644921,0.2790176570415497,0.4923327223448617
10,0.0,50,15,4,0.004319332737563301,0.2786124348640442,0.4853895547137514
